statusId | label
100|press
statusId|sensorName|value|timestamp
100|LPS22H Barometer Sensor|[1014.6033]|1589445948589
100|LPS22H Barometer Sensor|[1014.6013]|1589445948689
100|LPS22H Barometer Sensor|[1014.6013]|1589445948789
100|LPS22H Barometer Sensor|[1014.6101]|1589445948889
100|LPS22H Barometer Sensor|[1014.60596]|1589445948989
100|LPS22H Barometer Sensor|[1014.6072]|1589445949089
100|LPS22H Barometer Sensor|[1014.6118]|1589445949189
100|LPS22H Barometer Sensor|[1014.6128]|1589445949291
100|LPS22H Barometer Sensor|[1014.6118]|1589445949391
100|LPS22H Barometer Sensor|[1014.6111]|1589445949491
100|LPS22H Barometer Sensor|[1014.6145]|1589445949591
100|LPS22H Barometer Sensor|[1014.61084]|1589445949691
100|LPS22H Barometer Sensor|[1014.6096]|1589445949791
100|LPS22H Barometer Sensor|[1014.60596]|1589445949891
100|LPS22H Barometer Sensor|[1014.61084]|1589445949991
100|LPS22H Barometer Sensor|[1014.6135]|1589445950091
100|LPS22H Barometer Sensor|[1014.6113]|1589445950191
100|LPS22H Barometer Sensor|[1014.6157]|1589445950291
100|LPS22H Barometer Sensor|[1014.6218]|1589445950391
100|LPS22H Barometer Sensor|[1014.6179]|1589445950491
100|LPS22H Barometer Sensor|[1014.6218]|1589445950591
100|LPS22H Barometer Sensor|[1014.626]|1589445950691
100|LPS22H Barometer Sensor|[1014.6201]|1589445950791
100|LPS22H Barometer Sensor|[1014.6155]|1589445950891
100|LPS22H Barometer Sensor|[1014.615]|1589445950992
100|LPS22H Barometer Sensor|[1014.6118]|1589445951091
100|LPS22H Barometer Sensor|[1014.6118]|1589445951191
100|LPS22H Barometer Sensor|[1014.6116]|1589445951292
100|LPS22H Barometer Sensor|[1014.6179]|1589445951392
100|LPS22H Barometer Sensor|[1014.6179]|1589445951491
100|LPS22H Barometer Sensor|[1014.61914]|1589445951591
100|LPS22H Barometer Sensor|[1014.6177]|1589445951691
100|LPS22H Barometer Sensor|[1014.6177]|1589445951792
100|LPS22H Barometer Sensor|[1014.61597]|1589445951892
100|LPS22H Barometer Sensor|[1014.61865]|1589445951992
100|LPS22H Barometer Sensor|[1014.61865]|1589445952091
100|LPS22H Barometer Sensor|[1014.6255]|1589445952191
100|LPS22H Barometer Sensor|[1014.62744]|1589445952292
100|LPS22H Barometer Sensor|[1014.62744]|1589445952392
100|LPS22H Barometer Sensor|[1014.626]|1589445952492
100|LPS22H Barometer Sensor|[1014.6245]|1589445952592
100|LPS22H Barometer Sensor|[1014.6172]|1589445952693
100|LPS22H Barometer Sensor|[1014.6167]|1589445952793
100|LPS22H Barometer Sensor|[1014.62134]|1589445952893
100|LPS22H Barometer Sensor|[1014.6179]|1589445952992
100|LPS22H Barometer Sensor|[1014.6221]|1589445953092
100|LPS22H Barometer Sensor|[1014.62085]|1589445953193
100|LPS22H Barometer Sensor|[1014.6167]|1589445953293
100|LPS22H Barometer Sensor|[1014.615]|1589445953393
100|LPS22H Barometer Sensor|[1014.61426]|1589445953493
100|LPS22H Barometer Sensor|[1014.6138]|1589445953593
100|LPS22H Barometer Sensor|[1014.61743]|1589445953694
100|LPS22H Barometer Sensor|[1014.6177]|1589445953794
100|LPS22H Barometer Sensor|[1014.61523]|1589445953894
100|LPS22H Barometer Sensor|[1014.615]|1589445953994
100|LPS22H Barometer Sensor|[1014.6157]|1589445954094
100|LPS22H Barometer Sensor|[1014.6179]|1589445954195
100|LPS22H Barometer Sensor|[1014.61206]|1589445954295
100|LPS22H Barometer Sensor|[1014.6194]|1589445954395
100|LPS22H Barometer Sensor|[1014.6138]|1589445954495
100|LPS22H Barometer Sensor|[1014.6216]|1589445954596
100|LPS22H Barometer Sensor|[1014.61255]|1589445954696
100|LPS22H Barometer Sensor|[1014.61255]|1589445954796
100|LPS22H Barometer Sensor|[1014.6084]|1589445954896
100|LPS22H Barometer Sensor|[1014.61206]|1589445954996
100|LPS22H Barometer Sensor|[1014.61206]|1589445955096
100|LPS22H Barometer Sensor|[1014.6101]|1589445955197
100|LPS22H Barometer Sensor|[1014.6072]|1589445955297
100|LPS22H Barometer Sensor|[1014.6072]|1589445955397
100|LPS22H Barometer Sensor|[1014.6074]|1589445955497
100|LPS22H Barometer Sensor|[1014.60645]|1589445955597
100|LPS22H Barometer Sensor|[1014.60645]|1589445955697
100|LPS22H Barometer Sensor|[1014.60254]|1589445955797
100|LPS22H Barometer Sensor|[1014.5979]|1589445955898
100|LPS22H Barometer Sensor|[1014.5979]|1589445955998
100|LPS22H Barometer Sensor|[1014.6128]|1589445956098
100|LPS22H Barometer Sensor|[1014.60864]|1589445956198
100|LPS22H Barometer Sensor|[1014.6111]|1589445956298
100|LPS22H Barometer Sensor|[1014.61646]|1589445956398
100|LPS22H Barometer Sensor|[1014.6194]|1589445956498
100|LPS22H Barometer Sensor|[1014.6145]|1589445956598
100|LPS22H Barometer Sensor|[1014.6074]|1589445956698
100|LPS22H Barometer Sensor|[1014.6062]|1589445956798
100|LPS22H Barometer Sensor|[1014.60474]|1589445956899
100|LPS22H Barometer Sensor|[1014.6079]|1589445956999
100|LPS22H Barometer Sensor|[1014.6106]|1589445957099
100|LPS22H Barometer Sensor|[1014.61597]|1589445957199
100|LPS22H Barometer Sensor|[1014.6111]|1589445957299
100|LPS22H Barometer Sensor|[1014.61646]|1589445957399
100|LPS22H Barometer Sensor|[1014.6113]|1589445957498
100|LPS22H Barometer Sensor|[1014.6133]|1589445957599
100|LPS22H Barometer Sensor|[1014.6135]|1589445957699
100|LPS22H Barometer Sensor|[1014.615]|1589445957799
100|LPS22H Barometer Sensor|[1014.6118]|1589445957899
100|LPS22H Barometer Sensor|[1014.60693]|1589445957999
100|LPS22H Barometer Sensor|[1014.60986]|1589445958099
100|LPS22H Barometer Sensor|[1014.6084]|1589445958199
100|LPS22H Barometer Sensor|[1014.59814]|1589445958300
100|LPS22H Barometer Sensor|[1014.59814]|1589445958400
100|LPS22H Barometer Sensor|[1014.6116]|1589445958500
100|LPS22H Barometer Sensor|[1014.6272]|1589445958600
100|LPS22H Barometer Sensor|[1014.6272]|1589445958700
100|LPS22H Barometer Sensor|[1014.61816]|1589445958801
100|LPS22H Barometer Sensor|[1014.6255]|1589445958901
100|LPS22H Barometer Sensor|[1014.6255]|1589445959001
100|LPS22H Barometer Sensor|[1014.62646]|1589445959101
100|LPS22H Barometer Sensor|[1014.6145]|1589445959201
100|LPS22H Barometer Sensor|[1014.6145]|1589445959301
100|LPS22H Barometer Sensor|[1014.60474]|1589445959401
100|LPS22H Barometer Sensor|[1014.60645]|1589445959502
100|LPS22H Barometer Sensor|[1014.60645]|1589445959602
100|LPS22H Barometer Sensor|[1014.6201]|1589445959702
100|LPS22H Barometer Sensor|[1014.6218]|1589445959802
100|LPS22H Barometer Sensor|[1014.6196]|1589445959903
100|LPS22H Barometer Sensor|[1014.63403]|1589445960003
100|LPS22H Barometer Sensor|[1014.6279]|1589445960103
100|LPS22H Barometer Sensor|[1014.6277]|1589445960204
100|LPS22H Barometer Sensor|[1014.62476]|1589445960304
100|LPS22H Barometer Sensor|[1014.6282]|1589445960404
100|LPS22H Barometer Sensor|[1014.614]|1589445960504
100|LPS22H Barometer Sensor|[1014.6194]|1589445960604
100|LPS22H Barometer Sensor|[1014.62695]|1589445960704
100|LPS22H Barometer Sensor|[1014.63306]|1589445960804
100|LPS22H Barometer Sensor|[1014.6311]|1589445960904
100|LPS22H Barometer Sensor|[1014.6306]|1589445961004
100|LPS22H Barometer Sensor|[1014.63794]|1589445961105
100|LPS22H Barometer Sensor|[1014.62427]|1589445961205
100|LPS22H Barometer Sensor|[1014.62427]|1589445961305
100|LPS22H Barometer Sensor|[1014.6272]|1589445961405
100|LPS22H Barometer Sensor|[1014.6333]|1589445961505
100|LPS22H Barometer Sensor|[1014.6282]|1589445961604
100|LPS22H Barometer Sensor|[1014.6223]|1589445961704
100|LPS22H Barometer Sensor|[1014.61914]|1589445961804
100|LPS22H Barometer Sensor|[1014.6306]|1589445961905
100|LPS22H Barometer Sensor|[1014.6306]|1589445962005
100|LPS22H Barometer Sensor|[1014.61694]|1589445962105
100|LPS22H Barometer Sensor|[1014.6023]|1589445962205
100|LPS22H Barometer Sensor|[1014.6023]|1589445962305
100|LPS22H Barometer Sensor|[1014.6057]|1589445962405
100|LPS22H Barometer Sensor|[1014.61646]|1589445962505
100|LPS22H Barometer Sensor|[1014.61646]|1589445962605
100|LPS22H Barometer Sensor|[1014.6023]|1589445962705
100|LPS22H Barometer Sensor|[1014.59814]|1589445962806
100|LPS22H Barometer Sensor|[1014.59814]|1589445962906
100|LPS22H Barometer Sensor|[1014.6008]|1589445963006
100|LPS22H Barometer Sensor|[1014.6113]|1589445963106
100|LPS22H Barometer Sensor|[1014.6113]|1589445963206
100|LPS22H Barometer Sensor|[1014.614]|1589445963306
100|LPS22H Barometer Sensor|[1014.6199]|1589445963406
100|LPS22H Barometer Sensor|[1014.6262]|1589445963506
100|LPS22H Barometer Sensor|[1014.624]|1589445963607
100|LPS22H Barometer Sensor|[1014.63306]|1589445963707
100|LPS22H Barometer Sensor|[1014.6223]|1589445963807
100|LPS22H Barometer Sensor|[1014.63306]|1589445963907
100|LPS22H Barometer Sensor|[1014.624]|1589445964007
100|LPS22H Barometer Sensor|[1014.61914]|1589445964107
100|LPS22H Barometer Sensor|[1014.6113]|1589445964207
100|LPS22H Barometer Sensor|[1014.5945]|1589445964307
100|LPS22H Barometer Sensor|[1014.60254]|1589445964407
100|LPS22H Barometer Sensor|[1014.60986]|1589445964507
100|LPS22H Barometer Sensor|[1014.6084]|1589445964608
