TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
23913;9.02;4.65;-0.77;-2.19;0.06;-5.97
24017;8.86;4.71;-0.67;-2.26;0.05;-6.11
24122;8.78;4.81;-0.78;-2.06;-0.02;-6.16
24224;8.78;4.81;-0.78;-2.06;-0.02;-6.16
24329;8.73;4.96;-0.74;-2.09;-0.10;-6.07
24433;8.72;5.00;-0.69;-2.11;-0.07;-6.06
24538;8.60;5.12;-0.70;-2.20;-0.11;-5.92
24642;8.52;5.25;-0.74;-2.10;-0.11;-5.97
24747;8.48;5.27;-0.76;-2.33;-0.16;-5.94
24851;8.49;5.37;-0.71;-2.01;0.00;-5.98
24955;8.46;5.39;-0.77;-1.97;-0.17;-5.95
25060;8.29;5.47;-0.86;-1.98;0.00;-6.07
25164;8.24;5.59;-0.81;-2.14;-0.13;-6.03
25269;8.15;5.69;-0.76;-1.97;-0.01;-0.01
25373;8.28;5.75;-0.75;-2.17;0.11;-6.04
25478;8.19;5.76;-0.70;-2.11;-0.12;-5.87
25582;8.13;5.81;-0.70;-2.08;0.07;-6.06
25687;8.04;5.95;-0.86;-2.05;-0.41;-6.07
25791;7.95;5.98;-0.79;-2.15;-0.21;-6.10
25895;7.93;6.06;-0.78;-2.17;0.07;-6.00
26000;8.02;6.15;-0.67;-1.93;-0.03;-5.97
26104;7.90;6.25;-0.75;-2.04;-0.03;-6.02
26209;7.82;6.24;-0.86;-2.20;0.04;-6.05
26313;7.70;6.38;-0.79;-2.01;0.01;-6.07
26418;7.77;6.40;-0.77;-1.95;-0.03;-6.07
26522;7.60;6.50;-0.77;-2.03;0.14;-6.14
26627;7.58;6.64;-0.77;-2.13;0.07;-5.97
26731;7.47;6.64;-0.81;-2.14;0.05;-6.28
26835;7.42;6.68;-0.71;-2.22;0.03;-6.01
26940;7.34;6.80;-0.78;-2.02;0.14;-6.07
27044;7.33;6.83;-0.69;-1.96;0.13;-6.06
27149;7.22;6.89;-0.81;-2.01;0.07;-6.12
27253;7.19;7.04;-0.82;-2.14;0.02;-5.98
27358;7.11;7.03;-0.83;-2.23;-0.12;-6.10
27462;6.97;7.02;-0.85;-2.15;-0.17;-6.20
27567;7.18;7.09;-0.69;-2.04;-0.04;-6.04
27671;6.91;7.23;-0.68;-2.07;-0.06;-6.08
27776;7.05;-0.00;-0.00;-0.01;-0.01;-0.01
27880;6.74;7.31;-0.89;-2.16;-0.09;-6.08
27984;6.67;7.38;-0.85;-2.02;0.16;-5.89
28089;6.69;7.41;-0.72;-2.04;-0.02;-5.99
28193;6.71;7.57;-0.77;-0.01;-0.01;-0.01
28298;6.68;7.61;-0.78;-2.11;-0.02;-6.08
28402;6.46;7.64;-0.87;-1.84;-0.05;-6.07
28506;6.44;7.68;-0.77;-2.04;-0.21;-6.02
28610;6.24;7.71;-0.86;-2.04;-0.31;-6.07
28715;6.18;7.80;-0.88;-2.08;-0.08;-5.98
28819;6.13;7.83;-0.86;-0.01;-0.01;-0.01
28923;6.04;7.96;-0.83;-2.24;-0.19;-6.05
29028;6.07;7.94;-0.76;-2.02;0.24;-6.10
29132;6.05;8.06;-0.81;-2.02;-0.14;-6.03
29237;5.96;8.04;-0.85;-1.99;0.20;-6.15
29341;5.90;8.13;-0.84;-2.12;-0.02;-5.96
29446;5.75;8.20;-0.83;-2.01;-0.01;-5.84
29550;5.74;8.18;-0.81;-2.17;-0.16;-6.22
29655;5.50;8.27;-0.93;-2.14;-0.15;-6.03
29759;5.64;8.34;-0.78;-2.06;-0.08;-5.99
29863;5.57;8.44;-0.75;-2.06;0.15;-6.26
29968;5.41;8.38;-0.83;-1.94;0.08;-6.03
30072;5.32;8.46;-0.89;-2.10;-0.11;-6.07
30177;5.20;8.54;-0.83;-2.01;0.08;-5.92
30281;5.19;8.58;-0.81;-1.93;-0.12;-6.08
30386;5.11;8.60;-0.82;-2.00;-0.02;-5.94
30490;5.00;8.74;-0.91;-2.08;-0.03;-6.08
30595;4.95;8.73;-0.90;-1.91;0.04;-6.18
30699;4.89;8.73;-0.89;-2.17;-0.20;-5.96
30803;4.67;8.74;-0.96;-2.08;0.04;-6.10
30908;4.70;8.83;-0.96;-2.02;-0.25;-6.07
31012;4.64;8.86;-0.89;-2.18;0.05;-5.98
31117;4.43;8.90;-0.83;-2.05;-0.21;-6.10
31221;4.33;8.94;-0.86;-2.13;-0.08;-5.94
31326;4.34;9.00;-0.82;-2.11;-0.14;-6.10
31430;4.22;9.07;-0.93;-2.23;-0.01;-6.04
31535;4.19;9.02;-0.84;-2.12;-0.11;-5.94
31639;4.12;9.10;-0.89;-2.12;-0.08;-6.19
31744;4.05;9.12;-0.96;-2.11;0.01;-5.97
31848;3.83;9.18;-0.92;-2.15;-0.19;-5.89
31952;3.89;9.23;-0.90;-1.95;0.04;-5.94
32057;3.83;9.22;-0.84;-2.11;-0.11;-5.99
32161;3.74;9.21;-0.93;-2.13;-0.12;-6.03
32266;3.63;9.32;-0.87;-2.02;0.08;-6.19
32370;3.47;9.32;-1.01;-1.96;-0.01;-0.01
32475;3.46;9.38;-0.97;-1.99;-0.08;-6.03
32579;3.38;9.42;-0.90;-2.01;0.04;-6.07
32684;3.25;9.44;-0.80;-2.21;0.01;-6.00
32788;3.14;9.49;-0.96;-1.95;-0.08;-6.10
32892;3.09;9.54;-0.90;-2.14;-0.07;-6.06
32997;3.00;9.55;-0.97;-2.05;-0.12;-6.03
33101;2.87;9.56;-0.93;-2.15;0.03;-6.07
33206;2.81;9.52;-0.92;-2.04;-0.07;-6.20
33309;2.76;9.55;-1.02;-2.09;-0.08;-6.00
33414;2.61;9.63;-1.03;-2.12;0.00;-6.06
33518;2.56;9.66;-1.02;-1.98;-0.27;-6.07
33623;2.56;9.64;-0.93;-1.99;0.10;-6.10
33727;2.43;9.71;-0.95;-2.11;-0.01;-6.00
33831;2.30;9.68;-0.89;-2.08;0.18;-6.09
33936;2.22;9.72;-0.89;-2.03;-0.02;-6.15
34040;2.21;9.73;-1.05;-1.92;-0.05;-5.95
34145;2.20;9.78;-0.86;-2.17;-0.05;-6.08
34249;2.09;9.76;-0.89;-1.99;0.01;-6.23
34354;1.93;9.74;-0.90;-2.12;0.21;-5.91
34458;1.85;9.88;-0.99;-2.12;-0.13;-6.07
34563;1.60;9.85;-0.92;-2.17;-0.15;-6.16
34667;1.71;9.84;-0.91;-2.00;-0.02;-5.97
34771;1.54;9.86;-0.85;-2.06;0.07;-6.07
34876;1.50;9.90;-0.93;-1.91;0.03;-6.14
34980;1.35;9.88;-0.96;-1.91;-0.07;-6.10
35085;1.25;9.89;-1.02;-2.06;-0.11;-6.06
35189;1.14;9.90;-1.10;-2.04;-0.07;-6.01
35294;1.11;9.91;-0.93;-2.02;-0.21;-6.05
35398;1.08;9.93;-1.02;-2.00;0.05;-6.08
35503;0.97;9.97;-0.96;-2.10;-0.19;-6.10
35607;0.80;9.95;-0.98;-2.14;0.25;-6.07
35712;0.71;9.93;-0.99;-2.01;-0.05;-6.03
35816;0.75;9.97;-0.96;-1.94;0.08;-5.98
35920;0.69;9.98;-1.03;-2.04;-0.08;-6.05
36025;0.54;9.95;-1.02;-2.18;-0.17;-5.95
36129;0.44;9.94;-0.94;-2.14;0.00;-6.02
36234;0.36;9.99;-0.88;-1.97;-0.04;-6.07
36338;0.21;9.91;-1.08;-2.04;0.11;-6.00
36443;0.10;9.91;-0.92;-2.06;-0.22;-6.14
36547;0.04;9.97;-0.92;-2.09;-0.03;-5.92
