TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
22554;-0.02;0.22;9.03;-2.18;-0.08;-1.10
22659;-0.02;0.17;9.02;-2.27;0.11;-1.17
22763;-0.12;0.23;9.04;-2.33;0.05;-0.98
22867;-0.09;0.22;9.15;-2.14;-0.02;-1.07
22972;-0.08;0.21;9.04;-2.15;0.08;-1.03
23076;-0.09;0.19;9.14;-2.25;-0.01;-0.93
23181;-0.08;0.18;9.08;-2.14;-0.02;-1.08
23285;0.04;0.23;9.08;-2.23;0.02;-1.05
23389;-0.06;0.17;9.09;-2.11;0.15;-1.05
23493;-0.05;0.18;8.99;-2.07;0.14;-1.08
23598;-0.06;0.15;9.09;-2.10;0.18;-1.12
23702;-0.05;0.17;9.17;-2.24;0.22;-0.98
23806;-0.08;0.17;9.12;-2.09;0.15;-1.04
23911;-0.05;0.21;9.01;-2.28;0.09;-1.05
24015;-0.11;0.13;9.11;-2.13;0.06;-1.05
24120;-0.06;0.16;9.08;-2.24;0.27;-1.17
24224;-0.06;0.10;9.16;-2.23;0.13;-1.18
24329;-0.02;0.15;9.07;-2.06;0.08;-1.00
24433;-0.13;0.23;9.00;-2.30;-0.10;-1.01
24538;-0.05;0.20;9.06;-2.29;0.13;-1.06
24642;-0.11;0.20;9.09;-2.27;0.08;-0.98
24747;-0.07;0.19;9.11;-2.26;-0.02;-1.25
24851;-0.08;0.22;9.11;-2.11;0.18;-1.14
24955;-0.08;0.19;9.02;-2.13;0.08;-1.10
25060;-0.07;0.10;9.05;-2.16;0.14;-1.08
25164;-0.06;0.17;9.05;-2.11;-0.05;-1.14
25269;-0.05;0.18;9.07;-2.27;0.17;-0.99
25373;-0.07;0.20;9.07;-2.28;0.27;-1.02
25478;-0.05;0.17;9.07;-2.06;0.16;-1.06
25582;-0.10;0.17;9.03;-2.17;0.02;-1.00
25687;-0.07;0.18;9.18;-2.13;0.05;-1.02
25791;-0.06;0.20;9.11;-2.37;-0.03;-0.91
25894;-0.06;0.17;9.18;-2.30;0.13;-1.01
25999;-0.07;0.16;9.11;-2.23;0.10;-1.03
26103;-0.06;0.16;9.13;-2.14;-0.01;-0.99
26208;-0.05;0.20;9.08;-2.17;-0.14;-1.24
26312;-0.06;0.12;9.10;-2.15;0.05;-1.30
26417;-0.11;0.24;9.15;-1.91;-0.07;-1.15
26521;-0.05;0.16;9.09;-1.97;-0.01;-1.08
26626;0.00;0.24;9.08;-2.07;-0.04;-1.01
26730;-0.06;0.23;9.05;-2.11;-0.08;-1.02
26834;-0.09;0.19;9.09;-2.23;0.11;-1.04
26939;-0.08;0.19;9.13;-2.08;0.15;-1.02
27043;-0.03;0.21;9.11;-2.23;0.16;-1.18
27148;-0.09;0.16;9.12;-2.27;-0.12;-1.10
27252;-0.08;0.21;9.04;-2.30;-0.05;-1.28
27357;-0.05;0.13;9.10;-2.11;0.12;-1.20
27461;-0.06;0.18;9.05;-2.27;-0.09;-0.93
27566;-0.07;0.21;9.04;-2.24;0.00;-1.17
27670;-0.04;0.11;9.12;-2.20;0.11;-0.99
27774;-0.04;0.16;9.13;-2.12;0.05;-1.06
27879;-0.07;0.17;9.03;-2.20;0.00;-1.24
27983;-0.05;0.24;9.05;-2.17;-0.05;-1.08
28088;-0.06;0.20;9.08;-2.30;-0.18;-1.03
28192;-0.09;0.24;9.11;-2.17;0.09;-1.06
28297;-0.08;0.17;9.13;-2.32;0.07;-1.03
28401;-0.12;0.18;9.06;-2.23;-0.11;-1.30
28505;-0.08;0.19;9.15;-2.02;-0.01;-1.00
28609;-0.01;0.22;9.11;-2.30;0.17;-1.06
28713;-0.05;0.13;9.15;-2.07;-0.05;-0.99
28818;-0.02;0.19;9.08;-2.18;0.08;-1.05
28922;-0.08;0.20;9.14;-2.20;0.06;-1.10
29027;-0.12;0.24;9.21;-2.04;0.10;-1.07
29131;-0.10;0.17;9.06;-2.24;0.14;-1.25
29236;-0.04;0.18;9.09;-2.15;-0.04;-1.17
29340;-0.05;0.15;9.13;-2.21;-0.05;-1.15
29445;-0.14;0.23;9.09;-2.17;-0.05;-1.03
29549;-0.04;0.15;9.16;-2.17;0.21;-1.09
29654;-0.06;0.16;9.20;-2.05;0.09;-1.08
29758;0.00;0.14;9.15;-2.17;-0.11;-1.02
29862;-0.13;0.22;9.15;-1.94;0.16;-1.11
29967;-0.06;0.15;9.13;-2.23;0.03;-1.13
30071;-0.03;0.20;9.08;-2.23;0.08;-1.16
30176;-0.06;0.17;9.03;-2.27;0.09;-1.21
30280;-0.11;0.19;9.04;-2.14;0.05;-1.21
30385;-0.03;0.18;9.02;-2.04;0.18;-1.05
30489;-0.04;0.18;9.09;-2.11;0.00;-1.34
30594;-0.03;0.16;9.07;-2.15;0.08;-1.07
30698;-0.06;0.24;9.11;-2.13;0.11;-1.00
30802;-0.05;0.20;9.09;-2.28;-0.01;-1.06
30907;-0.08;0.23;9.15;-2.17;0.00;-1.24
31011;-0.09;0.22;9.05;-2.08;-0.16;-1.17
31116;-0.06;0.17;9.16;-2.06;0.05;-0.91
31219;-0.08;0.19;9.11;-2.21;-0.08;-1.05
31324;-0.06;0.19;9.09;-2.21;0.04;-0.96
31428;-0.06;0.16;9.05;-2.03;-0.10;-1.06
31533;-0.12;0.21;9.11;-2.12;0.05;-1.03
31637;-0.06;0.16;9.13;-2.06;0.04;-1.16
31741;-0.08;0.21;9.12;-2.23;0.04;-1.15
