TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
18066;-0.37;0.67;8.20;-2.93;-0.01;-0.93
18170;-0.09;0.51;8.59;-2.68;-0.57;-0.97
18275;0.06;0.46;8.97;-2.62;1.00;-1.15
18379;-0.07;0.02;9.11;-2.24;0.26;-0.89
18484;-0.66;0.08;9.31;-2.36;0.50;-0.96
18588;-0.12;0.39;8.36;-2.53;1.15;-1.20
18693;-1.18;-0.41;10.01;-2.28;-0.06;-0.95
18797;-0.39;0.07;9.34;-1.78;-0.93;-1.21
18902;-0.02;0.21;9.36;-2.07;0.18;-1.24
19006;0.13;0.40;8.42;-2.30;1.29;-0.96
19110;-0.41;0.10;10.10;-1.40;-2.23;-1.25
19215;-0.61;-0.01;10.06;-1.91;-1.60;-1.14
19319;-0.20;-0.06;9.53;-1.94;0.36;-0.76
19424;-0.18;0.25;9.09;-2.30;0.18;-1.02
19528;0.16;0.38;9.79;-2.14;0.09;-1.04
19633;-0.16;0.36;9.79;-2.03;-0.53;-1.19
19737;-0.32;0.33;9.77;-2.11;-0.44;-1.37
19842;0.02;0.10;8.39;-2.44;0.63;-0.99
19946;-0.08;0.30;8.60;-2.25;-0.28;-1.10
20050;-0.58;-0.11;9.54;-1.91;-0.13;-1.08
20155;0.10;0.00;8.76;-2.85;1.58;-1.10
20259;-0.27;0.23;9.22;-2.07;0.13;-1.14
20364;0.48;0.05;8.66;-1.96;-1.03;-1.24
20468;0.31;0.25;8.57;-2.38;0.82;-0.92
20573;-0.90;-0.13;9.15;-2.69;3.75;-0.72
20677;1.05;0.08;8.80;-1.30;-2.06;-1.25
20782;-1.31;-0.02;9.79;-1.63;1.68;-0.90
20886;0.13;0.17;7.94;-2.96;0.95;-0.85
20989;0.98;-0.38;9.19;-1.56;-0.95;-1.50
21094;-0.71;-0.06;9.05;-2.47;-0.18;-0.95
21198;0.27;-0.14;10.08;-1.88;-0.37;-1.22
21303;-0.67;0.01;9.65;-1.97;-0.16;-0.86
21407;-0.35;-0.11;9.52;-2.40;-1.49;-1.01
21512;0.47;-0.40;9.09;-1.91;0.28;-1.31
21616;0.10;0.29;8.47;-2.53;0.08;-1.24
21721;-0.47;0.03;9.24;-2.17;0.50;-0.95
21825;-0.10;0.14;9.53;-2.00;-1.40;-1.20
21929;-0.30;0.24;8.88;-2.49;1.34;-1.25
22034;-0.39;0.18;9.78;-2.30;0.53;-1.13
22138;-0.45;0.01;9.20;-2.71;-0.31;-1.14
22243;0.34;0.27;8.85;-2.19;0.79;-1.42
22347;0.33;0.27;8.45;-2.27;-1.14;-1.21
22452;-0.32;-0.01;9.84;-1.88;-0.83;-1.04
22556;-0.01;0.11;9.74;-1.85;-1.49;-1.27
22661;0.35;0.45;7.50;-2.57;0.07;-1.05
22765;0.00;-0.06;9.54;-2.08;-0.67;-1.11
22870;-0.03;-0.06;8.86;-2.09;0.11;-1.02
22974;-0.31;0.05;9.15;-2.40;-0.14;-1.12
23078;-0.02;-0.13;9.20;-1.80;0.16;-1.47
23183;-0.12;0.10;9.22;-2.01;-0.24;-1.09
23287;0.02;0.07;8.95;-2.10;0.10;-0.92
